間取り,開口部比率,断熱仕様,UA,推定UA,ηA,推定ηA
平屋,開口部20%,無断熱,3.2272408779343147,2.9745591806409863,8.255064168973961,8.015701716305115
平屋,開口部20%,等級7相当,0.22209377792494023,0.12403722977925226,0.4599290674548861,0.4192066176941217
平屋,開口部70%,無断熱,3.5326438408245933,3.2574854916236933,11.416386535651274,10.652093047740596
平屋,開口部70%,等級7相当,0.3585982640013791,0.12903344686235227,0.7173717045740795,0.6449238784099339
メゾネット,開口部20%,無断熱,2.447808912637126,2.258272210284112,5.840051504309778,5.837902808199181
メゾネット,開口部20%,等級7相当,0.17511955384458333,0.10047086392293665,0.32366070782520473,0.29562863481065316
メゾネット,開口部70%,無断熱,2.757050606260587,2.5444205016012105,8.683984289251937,8.092162182162925
メゾネット,開口部70%,等級7相当,0.31351949146965313,0.08324429543743173,0.5494808631949346,0.4900290115253147
